property_id,purpose,type,added_on,furnishing,price,location,bed_bath_size,permit_number,agent_name,image_url,breadcrumbs,description
Bayut - L-4718,For Rent,Apartment,21 June 2024,Furnished,"{""currency"":""AED"",""amount"":""115,000""}","South Ridge 5, South Ridge, Downtown Dubai, Dubai","{""bedrooms"":""1 Bed"",""bathrooms"":""1 Bath"",""size"":""867 sqft""}",,Igor Dordevic,https://images.bayut.com/thumbnails/727431235-800x600.jpeg,Dubai Apartments > Downtown Dubai > South Ridge > South Ridge 5 > Bayut - L-4718,"'- 1 Bedroom & 1 Bathroom- Upgraded- Fully Furnished- Ready to Move Now- Low Floor- Fully Equipped Kitchen- Storage Room- Parquet Flooring- Community Pool & Gym- Easy to ViewRosenheim Luxury Properties is excited to present this uniquely upgraded gem in Downtown Dubai. This 1-bedroom apartment, situated on a low floor in the South Ridge Towers, has been entirely remodeled into a turn-key property, ready to welcome its new residents. Tastefully furnished to exude elegance and contemporary style, the apartment features a spacious living area that accommodates a dining space and seamlessly flows into the bedroom. The kitchen is fully equipped, right down to the cutlery, and a separate storage room provides an additional bonus. Located in the heart of Downtown Dubai, this apartment is just a short walk from the main commercial attractions and a convenient drive from Dubai's commercial district in DIFC. The building offers an array of amenities, including a community pool, gym, restaurants, supermarkets, cafes, and much more. Claim this apartment now and contact our area specialist Igor Dordevic now at View Contact Detail or Send e-mail"
Bayut - CB-R-08099,For Rent,Apartment,25 June 2024,Unfurnished,"{""currency"":""AED"",""amount"":""85,000""}","Farhad Azizi Residence, Dubai Healthcare City Phase 2, Al Jaddaf, Dubai","{""bedrooms"":""1 Bed"",""bathrooms"":""1 Bath"",""size"":""657 sqft""}",,Sandra Johanna Santana Laguna,https://images.bayut.com/thumbnails/727829173-800x600.jpeg,Dubai Apartments > Al Jaddaf > Dubai Healthcare City Phase 2 > Farhad Azizi Residence > Bayut - CB-R-08099,"Coldwell Banker is pleased to present a spacious, bright and, recently handover 1-bedroom apartment in Farhad Azizi Residence for rent. Property Details:- 1 bedroom- 1 bathroom- Size:657 sqft- Unfurnished- Kitchen Appliances- Balcony- Built-in Wardrobe- One Allocated Parking Space- Accessible for public transportation- Recently handed overAmenities and Features:- Swimming Pool- Security- Landscaped gardens- Gymnasium- Sauna- Swimming pool- Kids play area- Jogging track- Basketball playground- Retail areas- 6 Large LiftsAZIZI DEVELOPMENTS is proud to introduce AZIZI FARHAD, a high-end residential apartment building with facilities in Health Care City district of Dubai. The building features a unique design that creates a unique look that is unsurpassed in Dubai. Azizi Farhad Residence features 634 luxurious apartments that offer an unparalleled level of convenience and amenities. Each apartment is delivered with a modern and fresh interior design. Contact our specialist agent, Sandra Santana for your private viewing now. Company name: Coldwell BankerRERA ORN: 1201Address: Office G04, Marina Diamond 5 Block B, Dubai MarinaOffice phone no: View Contact DetailPrimary email: c. Send e-mailWebsite: www. coldwellbanker. ae"
Bayut - 8736-8x0PG0,For Rent,Apartment,23 May 2024,Furnished,"{""currency"":""AED"",""amount"":""46,000""}","Spirit Tower, Dubai Sports City, Dubai","{""bedrooms"":""Studio"",""bathrooms"":""1 Bath"",""size"":""437 sqft""}",,Ahmad Fahad Kamiel,https://images.bayut.com/thumbnails/706224301-800x600.jpeg,Dubai Apartments > Dubai Sports City > Spirit Tower > Bayut - 8736-8x0PG0,"Available Now For viewing !!!Studio for Rent atThe Spirit Tower, Sports City AED 46,000 in 4 cheques. Apartment Features:• Balcony• Bus Stop front of the building • 1 Secure Parking Space• Large Swimming Pool, Kids Pool, Gym Mixed and Female Only, Sauna, Steam room and Jacuzzi. • 2 minutes to the Els Club Licensed Restaurants. • Direct Bus Link to The Mall of the Emirates. • Less than 10Minutes’ Drive to Tecom, Barsha & Marina• Waking distance to Wonder Years Nursery, and Victory Heights Primary Schools. RERA Permit View Contact DetailThe Matrix Property Brokerage present to you this great apartment at Spirit Tower in DubaiSports City. Contact Ahmad on View Contact Detail for viewing or email: Ahmad. Send e-mailRERA ORN: 15250BRN:53461Address: Solo Business Centre (Regus)Offices, 2nd Floor The Bridge Tower Dubai Sports City"
Bayut - 8736-IwVwW6,For Rent,Apartment,23 May 2024,Furnished,"{""currency"":""AED"",""amount"":""45,000""}","Spirit Tower, Dubai Sports City, Dubai","{""bedrooms"":""Studio"",""bathrooms"":""1 Bath"",""size"":""456 sqft""}",,Ahmad Fahad Kamiel,https://images.bayut.com/thumbnails/706158257-800x600.jpeg,Dubai Apartments > Dubai Sports City > Spirit Tower > Bayut - 8736-IwVwW6,"Available for viewing !!!Elegant Large Sanctuary Studio with balcony apartment in The Spirit Tower. *Ground floor without balcony* Reception room with Full height wall to wall and floor to ceiling windows* Fully fitted separate kitchen with all appliances to include fridge freezer and stove* Large Studio* 1 washroom* En-suite bathroom with good quality fixtures and fittings* Fully Furnished* Parking for 1 car* Facilities and amenities* High speed elevators* Outdoor swimming pool* High-quality equipment gym, Steam & Sauna room* 24 hours security* Full floor function area* Close to Cricket Stadium and next to Bus Stand* Close to the DSC Lake walk* Easy access to all main routes out of the Dubai Sports CityThe Matrix Property Brokerage present to you this great apartment at Spirit Tower in DubaiSports City. Contact Ahmad on View Contact Detail for viewing or email: ahmad. Send e-mailRERA ORN: 15250BRN:53461Address: Solo Business Centre (Regus)Offices, 2nd Floor The Bridge Tower Dubai Sports CityRERA Permit NoView Contact Detail"
Bayut - PP-R-7842,For Rent,Villa,13 June 2024,Furnished,"{""currency"":""AED"",""amount"":""255,000""}","Quortaj, Al Furjan, Dubai","{""bedrooms"":""3 Beds"",""bathrooms"":""3 Baths"",""size"":""3,049 sqft""}",,Tristan Money,https://images.bayut.com/thumbnails/726869402-800x600.jpeg,Dubai Villas > Al Furjan > Quortaj > Bayut - PP-R-7842,"Welcome to luxury living in the heart of Al Furjan's Quortaj estate. This fully upgraded and fully furnished 3-bedroom villa offers a blend of elegance and comfort, perfect for those seeking a refined lifestyle. - Large & Spacious Villa- Fully Upgraded- Fully Furnished Interior- Quortaj Estate- Balcony- Maids Room- 3 Bedrooms- 3 Bathrooms- Plot Size: 2,471.39- Good Storage Space- Covered Parking for Two- Master En-Suite Bedroom- Private Upgraded Outdoor TerraceStep into a world of sophistication and tranquility with this meticulously designed villa. Whether you're relaxing on the terrace or hosting guests in the stylish living spaces, this residence epitomizes modern luxury living. Enjoy the convenience of covered parking and access to community amenities such as a pool and gym, enhancing your lifestyle experience. With every detail carefully curated for comfort and elegance, this villa offers a haven where you can unwind and create lasting memories with loved ones. Don't miss the opportunity to make this your new home."
Bayut - 11215-wdWp6g,For Rent,Apartment,26 June 2024,Unfurnished,"{""currency"":""AED"",""amount"":""42,000""}","Azizi Riviera 24, Azizi Riviera, Meydan One, Meydan City, Dubai","{""bedrooms"":""Studio"",""bathrooms"":""1 Bath"",""size"":""369 sqft""}",,Arslan Ali Muhammad Irshad,https://images.bayut.com/thumbnails/728026908-800x600.jpeg,Dubai Apartments > Meydan City > Meydan One > Azizi Riviera > Azizi Riviera 24 > Bayut - 11215-wdWp6g,"Welcome to Sky Homes  Real Estate :Arslan Ali : View Contact DetailBrand New Chiller Free Studio Apartment With Kitchen Appliances available for rent in just 42KApartment Description:Studio Apartment 1 Bath RoomHuge HallBig Balcony Built-in Wardrobes in RoomWell Equipped American Style Kitchen Central A/C Building Features:PoolGymnasium Free Covered Parking Free Maintenance Security 24/7CCTV Surveillance 24/7Security Deposit Refundable 5%Commission 3000For More Details And Viewing Please ContactCall Or WhatsApp Call : View Contact DetailWhatsapp : View Contact DetailNearby Places:• Close to Mosque• Close to Public parking• Close to Public transport• Close proximity buildings such as Dubai Wharf,Versace Palace and D1 Residences• Dubai International Airport - 9 minute drive• Dubai Festival City Mall - 8 minute drive• Dubai Mall-14 minute driveCompany Information :We Are One The Fastest Growing Real Estate Organization Located in Al Nahda.  We Deal in Sales And Rental Properties.  We Emphasize And Focus On Our CustomersSatisfaction Being Professionals.  Our Core Value of Business includes integrity, Respect And Trust.  Geographically we deal in Al Jaddaf, Al Nahda Dubai, Al Qusais,Muhaisnah,Al Nahda Sharjah, Al Khan."
Bayut - MRB-2082,For Rent,Villa,24 June 2024,Unfurnished,"{""currency"":""AED"",""amount"":""510,000""}","Sidra 3, Sidra Villas, Dubai Hills Estate, Dubai","{""bedrooms"":""4 Beds"",""bathrooms"":""5 Baths"",""size"":""4,942 sqft""}",,Gulshan Ara,https://images.bayut.com/thumbnails/727736765-800x600.jpeg,Dubai Villas > Dubai Hills Estate > Sidra Villas > Sidra 3 > Bayut - MRB-2082,"Property Features* 4 Bedrooms + Maid's Room* 5 Bathrooms* Elegant Living* 2 Covered parking* Prime LocationCommunity Amenities * Nurseries, schools* Mosque and medical center* Children's play areas* Basketball and mini-tennis courts * Community Pool & Park  Stunning 4-bedroom villa in the prestigious Sidra Villas III, located in the heart of Dubai Hills Estate. This luxurious villa offers a perfect blend of modern design, comfort, and elegance, making it an ideal home for families seeking a premium lifestyle. Dubai Hills Estate is strategically located within Mohammed Bin Rashid City (MBR City), providing easy access to major road networks, including Al Khail Road and Sheikh Zayed Road. This ensures that residents can conveniently reach key areas such as Downtown Dubai, Dubai Marina, and Dubai International Airport. Metropolitan Premium Properties (MPP) is dedicated to delivering our clients a wide array of services: sales, rentals, property management, consulting services, mortgage brokerage, and many more."
Bayut - nexus-2159,For Rent,Townhouse,7 June 2024,Furnished,"{""currency"":""AED"",""amount"":""235,000""}","Noor Townhouses, Town Square, Dubai","{""bedrooms"":""4 Beds"",""bathrooms"":""4 Baths"",""size"":""2,882 sqft""}",,Nadine Farouk,https://images.bayut.com/thumbnails/727078821-800x600.jpeg,Dubai Townhouses > Town Square > Noor Townhouses > Bayut - nexus-2159,"Welcome to your new beautiful home in the heart of the sought-after Noor community, Town Square. This beautiful 4-bedroom+maids townhouse comes as a fully furnished and freshly painted ready to move-in. Equipped with modern appliances and furniture, and with upgraded extra storage space it offers spacious living space for the whole family. In addition, it comes with a very large, landscaped garden and a terrace which is great for family gatherings. This single row corner townhouse has green community views and very close to pool, children play areas as well as sport amenities. Bright, spacious, central and well-maintained, this townhouse is the ideal home for families seeking comfort and convenience. P. S: Vastu compliant. Amenities:- Multiple supermarkets and retail options- Plenty of restaurants and cafes- Food trucks- Green areas and park- Jogging track- Cycle track - Skatepark and Water Park- Children’s’ play areas- Pharmacy, Medical Centre- 24-hour securityCompany name: Nexus Point Real Estate BrokerageRERA ORN: 24933Address: Office- 404 Park Heights Square 2, Dubai Hills, DubaiOffice phone no: View Contact DetailPrimary email: Send e-mailCompany Profile: Nexus Point is a leading independently owned real estate company based in Dubai. Our main focus is to provide an exceptional service to all customers through our team's expert knowledge of the regional market and its current trends. At Nexus Point, we are your one-stop shop for all things real estate. Let our experts handle all of your transactions from start to finish and enjoy the best Dubai has to offer!"
Bayut - nexus-2177,For Rent,Townhouse,14 June 2024,Unfurnished,"{""currency"":""AED"",""amount"":""190,000""}","Noor Townhouses, Town Square, Dubai","{""bedrooms"":""4 Beds"",""bathrooms"":""4 Baths"",""size"":""3,382 sqft""}",,Nadine Farouk,https://images.bayut.com/thumbnails/726924459-800x600.jpeg,Dubai Townhouses > Town Square > Noor Townhouses > Bayut - nexus-2177,"This well-maintained single row 4 bedroom plus maids townhouse welcomes you with its largest layout and a huge garden. Located in the sought-after Noor community, Town Square this townhouse is ideal for families seeking spacious living space, comfort and convenience. The landscape garden is massive and great for long family weekends, BBQ parties and large gatherings with friends. The garden also allows amazing playing space for your children and pets.  The ground floor has a modern open-plan living area and separate room that is designed with your family in mind. The maid's room provides added flexibility as it can be used according to your needs. On the second floor, there are three well-appointed bedrooms offers a serene retreat. This very large Type 4 townhouse is not to be missed. Key features: - 4 bedrooms plus maids- Massive landscaped garden - Large Balcony- Open plan modern living space- Built in wardrobes in each room- UnfurnishedAmenities:- Multiple supermarkets and retail options- Plenty of restaurants and cafes- Food trucks- Green areas and park- Jogging track- Cycle track - Skatepark and Water Park- Children’s’ play areas- Pharmacy, Medical Centre- 24-hour securityCompany name: Nexus Point Real Estate BrokerageRERA ORN: 24933Address: Office- 404 Park Heights Square 2, Dubai Hills, DubaiOffice phone no: View Contact DetailPrimary email: Send e-mailCompany Profile: Nexus Point is a leading independently owned real estate company based in Dubai. Our main focus is to provide an exceptional service to all customers through our team's expert knowledge of the regional market and its current trends. At Nexus Point, we are your one-stop shop for all things real estate. Let our experts handle all of your transactions from start to finish and enjoy the best Dubai has to offer!"
Bayut - 102903-vaKFSU,For Rent,Apartment,18 May 2024,Unfurnished,"{""currency"":""AED"",""amount"":""52,999""}","Red Residence, Dubai Sports City, Dubai","{""bedrooms"":""1 Bed"",""bathrooms"":""2 Baths"",""size"":"".fec1ea68{display:none;margin-bottom:-2rem}._62f2ec05{display:-webkit-box;display:-ms-flexbox;display:flex;-webkit-box-orient:vertical;-webkit-box-direction:normal;border-top:.1rem solid #dedede;-ms-flex-direction:column;flex-direction:column;padding:2.4rem 2.4rem 0;row-gap:2.4rem;width:100%}@media (min-width:768px){._62f2ec05{-webkit-box-orient:horizontal;-webkit-box-direction:normal;-webkit-column-gap:3rem;-moz-column-gap:3rem;column-gap:3rem;-ms-flex-direction:row;flex-direction:row;margin-top:2.4rem;padding:4rem 0 0}}._1deff3aa{-webkit-column-gap:4rem;-moz-column-gap:4rem;column-gap:4rem}._1deff3aa>li:nth-child(odd){background-color:#fff}@media (max-width:768px){._1deff3aa>li:nth-child(odd){background-color:#fff}}._1deff3aa>li{display:-webkit-box;display:-ms-flexbox;display:flex;-webkit-box-align:center;-ms-flex-align:center;align-items:center;border-bottom:.1rem solid #f5f5f5;color:#222;font-size:1.596rem;line-height:3.4rem;margin-bottom:0;padding:.3rem 0;-webkit-column-break-inside:avoid;-moz-column-break-inside:avoid;break-inside:avoid-column}@media (max-width:768px){._1deff3aa>li{border-bottom:.1rem solid #f5f5f5;color:#222}}._1deff3aa{margin-bottom:0}.ef652a7d{min-width:50%;-ms-flex-item-align:baseline;align-self:baseline;font-weight:400;max-width:10rem}@media (max-width:768px){.ef652a7d{margin-right:1rem}}@media (min-width:768px){.ef652a7d{min-width:45%}}._0739c871{min-width:50%;-ms-flex-item-align:baseline;align-self:baseline;font-weight:400;max-width:10rem}@media (max-width:768px){._0739c871{margin-right:1rem}}@media (min-width:768px){._0739c871{min-width:45%}}.e56292b8{color:#222;font-weight:700;overflow:hidden;text-overflow:ellipsis;white-space:normal}@media (max-width:768px){.e56292b8{font-weight:700}}._942e3086{color:#222;font-size:2.394rem;font-weight:700;letter-spacing:normal;line-height:1.2;margin-bottom:0}._1cc8fb85{row-gap:2.4rem;width:100%}@media (min-width:768px){._1cc8fb85{row-gap:1.8rem}}.e3003b52{display:-webkit-box;display:-ms-flexbox;display:flex;-webkit-box-orient:vertical;-webkit-box-direction:normal;-ms-flex-direction:column;flex-direction:column;-webkit-box-align:center;-ms-flex-align:center;align-items:center;border:.1rem solid #dedede;border-radius:.6rem;font-size:1.4rem;font-weight:700;height:16rem;padding:1.6rem;row-gap:.8rem;text-align:center;width:100%}@media (min-width:768px){.e3003b52{border:none;margin:auto;padding:.8rem;width:13rem}}@media (min-width:950px){.e3003b52{width:40rem}}.e3003b52 span{min-height:1.7rem}.c52117f2{height:9rem;width:9rem}._55a34963{display:-webkit-box;display:-ms-flexbox;display:flex;height:3rem;padding:.5rem;width:3rem;fill:#006169}._682bc437{background-color:#fff;border-radius:.4rem;-webkit-box-shadow:.2rem 0 .8rem rgba(0,0,0,.1),0 .4rem .8rem rgba(0,0,0,.1);box-shadow:.2rem 0 .8rem rgba(0,0,0,.1),0 .4rem .8rem rgba(0,0,0,.1);color:#222;padding:.8rem;position:relative}@media (max-width:768px){._682bc437{left:7.5rem;max-width:29rem}}@media (max-width:360px){._682bc437{left:6rem;max-width:24rem}}.d38d9f87{background-color:#fff;border-radius:.4rem;-webkit-box-shadow:.2rem 0 .8rem rgba(0,0,0,.1),0 .4rem .8rem rgba(0,0,0,.1);box-shadow:.2rem 0 .8rem rgba(0,0,0,.1),0 .4rem .8rem rgba(0,0,0,.1);color:#222;padding:.8rem;position:relative}@media (max-width:768px){.d38d9f87{left:7.5rem;max-width:29rem}}@media (max-width:360px){.d38d9f87{left:6rem;max-width:24rem}}@media (max-width:768px){.d38d9f87{left:4rem}}@media (max-width:360px){.d38d9f87{left:2rem}}._27ac882f{background-color:#fff;border-radius:.4rem;-webkit-box-shadow:.2rem 0 .8rem rgba(0,0,0,.1),0 .4rem .8rem rgba(0,0,0,.1);box-shadow:.2rem 0 .8rem rgba(0,0,0,.1),0 .4rem .8rem rgba(0,0,0,.1);color:#222;padding:.8rem;position:relative}@media (max-width:768px){._27ac882f{left:7.5rem;max-width:29rem}}@media (max-width:360px){._27ac882f{left:6rem;max-width:24rem}}@media (max-width:768px){html[dir][lang=ar] ._682bc437,html[dir][lang=ar] .b9ab7e04{max-width:24rem}}._70a5a407,.ab56a603{color:#fff;position:relative}._0739c871{@inline .key;gap:.8rem;line-height:normal}.b9ab7e04{@inline .tooltipContent}._27ac882f{@inline .tooltipContent}._27ac882f{@inline .tooltipContent}.b9ab7e04{background-color:#fff;border-radius:.4rem;-webkit-box-shadow:.2rem 0 .8rem rgba(0,0,0,.1),0 .4rem .8rem rgba(0,0,0,.1);box-shadow:.2rem 0 .8rem rgba(0,0,0,.1),0 .4rem .8rem rgba(0,0,0,.1);color:#222;padding:.8rem;position:relative}@media (max-width:768px){.b9ab7e04{left:7.5rem;max-width:29rem}}@media (max-width:360px){.b9ab7e04{left:6rem;max-width:24rem}}.b9ab7e04{left:-10%}._27ac882f{@inline .tooltipContent}@media (max-width:768px){._27ac882f{left:7.5rem}}@media (max-width:360px){._27ac882f{left:4rem}}._70a5a407{@inline .anchor;left:-50%}""}",,Ghayath Hamouda,https://images.bayut.com/thumbnails/728062876-800x600.jpeg,Dubai Apartments > Dubai Sports City > Red Residence > Bayut - 102903-vaKFSU,"Sky Properties Is Pleased To Offer you this nice apartmentLocation: Dubai Sport City, Red Residence1BR (Area 734.21 Sqft)Big Bedroom with Balcony | Attached with WardrobesOpen Kitchen with big hall2 BathroomsCovered ParkingGYM, Swimming PoolREADY TO MOVE-INASKING RENT: AED 53,000 (ONE PAYMENT)SECURITY AED 5%AGENCY FEE 3,935 (INCLUDING EJARI & VAT)"
Bayut - AP8669L,For Rent,Apartment,19 June 2024,Unfurnished,"{""currency"":""AED"",""amount"":""100,000""}","Oxford Terraces, JVC District 11, Jumeirah Village Circle (JVC), Dubai","{""bedrooms"":""1 Bed"",""bathrooms"":""1 Bath"",""size"":""855 sqft""}",,Calvin Caines,https://images.bayut.com/thumbnails/727104225-800x600.jpeg,Dubai Apartments > Jumeirah Village Circle (JVC) > JVC District 11 > Oxford Terraces > Bayut - AP8669L,"Brand New | Vacant | Unfurnished- 1 Bedroom- 2 Bathrooms- Maid/Storage - 1 Parking Space- 855 sqft- Balcony- Gymnasium & Pool- 24/7 Security- Built-in wardrobes- Fully Fitted Kitchen with Kitchen AppliancesRent Details:- Price: AED 100,000 / Cheques: 1-2 - Security Deposit: 5%- Agency Fees AED 5% + VATColliers MENA are proud to offer this luxury one-bedroom apartment for sale at Oxford Terraces located in Jumeirah Village Circle (JVC), Dubai. It is an unfurnished apartment comprising of 1 bathroom. Oxford Terraces is a six-storey residential building under development in JVC District 11, Jumeirah Village Circle, Dubai. The property is nestled within the peaceful core of Jumeirah Village Circle, brimming with urban facilities yet maintaining a tranquil vibe. It's a perfect fusion of convenience and calm. Property Reference: AP8669Call or WhatsApp our Specialist at View Contact Detail for more information or to arrange a viewing for this property. Colliers is a leading diversified professional service and investment management company. Our experienced professionals offer unparalleled services for both secondary and off-plan residential transactions. Whether you're looking for a new home or seeking to sell your existing property, our network of buyers and sellers ensures the best possible outcome for your transaction. Contact us today to learn more about how we can help you achieve your real estate goals. Learn more at colliers. com, Facebook or Send e-mail For further information about Colliers and its services, please visit colliers. com. For residential brokerage, please visit colliers. ae."
Bayut - LRE-R-6702,For Rent,Apartment,12 June 2024,Furnished,"{""currency"":""AED"",""amount"":""90,000""}","Azizi Star, Al Furjan, Dubai","{""bedrooms"":""2 Beds"",""bathrooms"":""3 Baths"",""size"":""950 sqft""}",,Izabella Prendergast,https://images.bayut.com/thumbnails/726580542-800x600.jpeg,Dubai Apartments > Al Furjan > Azizi Star > Bayut - LRE-R-6702,"Lindas is pleased to bring you these 2 bedrooms (all ensuite) apartment in Al Furjan, short walking distance from the Arbor school. The apartment has beautiful wooden flooring, it is fully furnished and comes with all utensils as well. Features:- Spacious open plan kitchen and living area- 2 bedrooms (ensuite)- 3 Bathrooms- Balcony- Security 24/7- Adult and kids swimming pool- Gym- Yoga/meditation room- Kids play area- 1 parking space available- Very spacious common gardenAl Furjan is a very well-liked family community with lots of public parks and walk paths. Supermarkets, Medical clinics, pharmacies, schools and all the essentials you will need on a daily basis,. can be found withing the communityEasy access to Sheikh Zayed road(E11) and Sheikh Mohammed Bin Zayed road(E311). Please contact me to arrange a viewing.   PROPERTY FEATURES:  -Balcony -Built in wardrobes -Community View -Covered parking -Fully fitted kitchen -Fully furnished -Gymnasium -Kitchen white goods -On mid floor -Shared swimming pool"
Bayut - 102903-RzNgaf,For Rent,Villa,24 April 2024,Unfurnished,"{""currency"":""AED"",""amount"":""134,999""}","Expo Golf Villas 2 (Parkside 2), Expo Golf Villas, Emaar South, Dubai South, Dubai","{""bedrooms"":""4 Beds"",""bathrooms"":""4 Baths"",""size"":""Built-up""}",,Ghayath Hamouda,https://images.bayut.com/thumbnails/569399032-800x600.jpeg,Dubai Villas > Dubai South > Emaar South > Expo Golf Villas > Expo Golf Villas 2 (Parkside 2) > Bayut - 102903-RzNgaf,"Sky Properties is pleased to offer this Brand-New Luxury Villa Location: Emmar South, Parkside 2 o	Plot area (2,736 sqft) BUA (2,542sqft)o	G+1 VILLA o	4 Bedroom attached with wardrobeso	Hall with Open Kitcheno	Maid Room o	5 Bathroomo	2 Balconieso	Big Gardeno	2 Covered Parkingo	Central A/C•	Shared Swimming Pool •	Kids Play Area•	Well Equipped Gym.  •	Fitness Centre•	5 mins from Al Maktoum Airport, Actual Pictures | Ready To Move In.  Asking Rent: AED 135,000 (One Payment) Security Deposit 5%Agency Fee 5% + VAT Ejari: AED 260"
Bayut - 5312-uvX95m,For Rent,Villa,19 June 2024,Unfurnished,"{""currency"":""AED"",""amount"":""90,000""}","Victoria, DAMAC Hills 2 (Akoya by DAMAC), Dubai","{""bedrooms"":""3 Beds"",""bathrooms"":""3 Baths"",""size"":""1,486 sqft""}",,Rama Fadylah Mona,https://images.bayut.com/thumbnails/727079634-800x600.jpeg,Dubai Villas > DAMAC Hills 2 (Akoya by DAMAC) > Victoria > Bayut - 5312-uvX95m,"Seven Century Real Estate is proud to present this fascinating 3 Bedroom Villa available for rent. Located in Victoria, Damac Hills 2, Dubai, this 1,486 SQFT villa is perfect for families who seek a cozy and luxurious place to live in. The Community also facilitates a state of the art gymnasium and a chilled swimming pool. Property details:- 3 Bedroom- 3 Bathroom- Size: 1,486 SQFT As per the Title Deed- Modern Finishing- Unique layout- With Wardrobes- Community View- With Basement- With Balcony- Covered Parking- Vacant & Ready To Move InPrice Details:- Renting Price: AED 90,000/-- Security Deposit: 5%For more information regarding this property, Do not hesitate to contact Ms. Rama Fadylah Mona View Contact DetailVisit sevencentury. com to find a huge selection of properties available both for Sale and Rent. Seven Century Real Estate provides Holiday Homes, Property Management, Offplan, and Commercial and Facility Management services as well. Buyers, Sellers, and Tenants can contact us anytime. Thank you for choosing Seven Century Real Estate!Viewing of the property is also available on weekends (Friday, Saturday, and Sunday)c"
Bayut - L-237904,For Rent,Apartment,22 May 2024,Unfurnished,"{""currency"":""AED"",""amount"":""130,000""}","The Wings, Arjan, Dubai","{""bedrooms"":""2 Beds"",""bathrooms"":""2 Baths"",""size"":""1,180 sqft""}",,,https://images.bayut.com/thumbnails/705111776-800x600.jpeg,Dubai Apartments > Arjan > The Wings > Bayut - L-237904,"Allsopp & Allsopp Real Estate is excited to introduce this amazing 1,180 sq ft 2 bedrooms apartment in The Wings - B, Arjan, Dubai. PROPERTY FEATURES:- 2 Bedrooms- 2 Bathrooms- Balcony- Built-in Wardrobes- Covered Parking- Central A/C- On Mid Floor- Agent: Aaron McKee View Contact DetailFACILITIES AND AMENITIES:- Pets Allowed- Swimming pool- Gymnasium- Health Club- High-speed elevators- 24-hour security equipped with CCTV- Shopping malls- Parks- Restaurants- Public TransportationTenants interested in taking a managed property by Allsopp & Allsopp, call now to find out more. Alternatively visit our website www. allsoppandallsopp. com where you will find an extensive selection of properties available both for sale and for rent. ""Please call Aaron Mckee on View Contact Detail for more information or to arrange a viewing. Please note all measurements and information are given to the best of our knowledge. Allsopp & Allsopp accept no liability for any incorrect details. """
Bayut - 10419-vCEYaI,For Rent,Apartment,29 April 2024,Unfurnished,"{""currency"":""AED"",""amount"":""180,000""}","Creek Rise 2 Tower, Creek Rise, Dubai Creek Harbour, Dubai","{""bedrooms"":""3 Beds"",""bathrooms"":""4 Baths"",""size"":""1,447 sqft""}",,Yasir Baig,https://images.bayut.com/thumbnails/728041749-800x600.jpeg,Dubai Apartments > Dubai Creek Harbour > Creek Rise > Creek Rise 2 Tower > Bayut - 10419-vCEYaI,"Huaxin Real Estate is proud to offer to you this Unfurnished 3Bedrooom apartment for rent at Creek Rise Towe 2. It features luxury fittings, stunning floor-to-ceiling windows, modern design and is located in the heart of Dubai that is in access to the famous Burj Khalifa, Dubai Mall, and the Dancing fountain in minutes, plus rendering all the luxuries of urban living that blend to give this place attractive energy. -Apartment Details:-Unfurnished -Size 1447sqft-Price 180,000AED (1 or 3 Cheques)-Balcony with Community view -Modern designed Bathroom-Huge Living Area-High Floor -Built-in Wardrobes-Centralized A/C-Stunning design-Amenities and Facilities:-Covered Parking-24-Hour Security / CCTV-Visitor Waiting Area-Equipped Gym-Swimming Pool-Concierge-Kids Play AreaFor More Details Contact Yasir Baig View Contact DetailHUAXIN REAL ESTATE is a Chinese-owned company established in Dubai, specializes in Sales and Leasing properties as well as PROPERTY MANAGEMENT which aim is to give ease to clients with multiple properties. Backed by a highly qualified, competent and multi-skilled management and sales team with a collective experience of more than five years in the industry, our team of highly experienced professionals excels and specializes in their respective areas of Dubai and strive to meet all clients need throughout purchasing, selling or leasing process of the property in Dubai."
Bayut - 5312-xgZxFD,For Rent,Apartment,29 February 2024,Furnished,"{""currency"":""AED"",""amount"":""65,000""}","DAMAC Maison Majestine, Business Bay, Dubai","{""bedrooms"":""Studio"",""bathrooms"":""1 Bath"",""size"":""478 sqft""}",,Saeed Mohammad,https://images.bayut.com/thumbnails/678403513-800x600.jpeg,Dubai Apartments > Business Bay > DAMAC Maison Majestine > Bayut - 5312-xgZxFD,"Seven Century Real Estate is proud to present this spacious Studio apartment is available for rent. Located in Damac Majestine, Business Bay, this 478 SQFT apartment is perfect for individuals who seek a cozy and comfortable place to live in. The building also facilitates a state of the art gymnasium and a chilled swimming pool. Property Details:- Studio Apartment- 1 Bathroom- Size: 478 SQFT As per the Title Deed- With Wardrobes- Unique Layout- With Kitchen Appliances- Fully Furnished- Pool View- Balcony- Covered Parking- Vacant & Ready To Move InPrice Details:- Renting Price: AED 65,000/-- Security Deposit: 10%For more information regarding this property, Do not hesitate to contact Mr. Saeed View Contact DetailVisit sevencentury. com to find a huge selection of properties available both for Sale and Rent. Seven Century Real Estate provides Holiday Homes, Property Management, Offplan, and Commercial and Facility Management services as well. Buyers, Sellers, and Tenants can contact us anytime. Thank you for choosing Seven Century Real Estate!Viewing of the property is also available on weekends (Friday, Saturday, and Sunday)"
